row_index,biet_duoc,link_slot,url,file_id,status,http_status,local_path,file_size
54,Lidocain,1,https://drive.google.com/file/d/1T2HQnTHvFddw_m55Y-27n9St4WMAqYdB/view?usp=drive_link,1T2HQnTHvFddw_m55Y-27n9St4WMAqYdB,ok,200,dataset\hdsd_raw\0054_Lidocain_1_1T2HQnTHvFddw_m55Y-27n9St4WMAqYdB.pdf,4860001
55,Erafiq 5/80,1,https://drive.google.com/file/d/1s0RPXdNQUp0egtoTsPac5RJkCHdUnxBI/view?usp=drive_link,1s0RPXdNQUp0egtoTsPac5RJkCHdUnxBI,ok,200,dataset\hdsd_raw\0055_Erafiq_5_80_1_1s0RPXdNQUp0egtoTsPac5RJkCHdUnxBI.pdf,1571516
56,Ephedrine Aguettant 30mg/10ml,1,https://drive.google.com/file/d/1NMxYTnj1wQm4C2k-Du8MIVeOUBA1LdCg/view?usp=sharing,1NMxYTnj1wQm4C2k-Du8MIVeOUBA1LdCg,ok,200,dataset\hdsd_raw\0056_Ephedrine_Aguettant_30mg_10ml_1_1NMxYTnj1wQm4C2k-Du8MIVeOUBA1LdCg.pdf,1255028
57,SaviProlol Plus HCT 2.5/6.25,1,https://drive.google.com/file/d/1Tzg6bd_NMzD8RMvu4d2Ikt33u8qipYA3/view?usp=drive_link,1Tzg6bd_NMzD8RMvu4d2Ikt33u8qipYA3,ok,200,dataset\hdsd_raw\0057_SaviProlol_Plus_HCT_2_5_6_25_1_1Tzg6bd_NMzD8RMvu4d2Ikt33u8qipYA3.pdf,2241568
58,Glipeform 500/5,1,https://drive.google.com/file/d/1r5kKd6Gd5xa-OpA9jMl1CJs6qDi1ReFp/view?usp=drive_link,1r5kKd6Gd5xa-OpA9jMl1CJs6qDi1ReFp,ok,200,dataset\hdsd_raw\0058_Glipeform_500_5_1_1r5kKd6Gd5xa-OpA9jMl1CJs6qDi1ReFp.pdf,3615080
59,Sita-Met tablets 50/500,1,https://drive.google.com/file/d/1B7NQJ0zGWdQsgPHehIfrC9PqFGaC_AEc/view?usp=drive_link,1B7NQJ0zGWdQsgPHehIfrC9PqFGaC_AEc,ok,200,dataset\hdsd_raw\0059_Sita-Met_tablets_50_500_1_1B7NQJ0zGWdQsgPHehIfrC9PqFGaC_AEc.pdf,7392528
60,SIMVOFIX 10/20 MG,1,https://drive.google.com/file/d/1JHkTLLMCyEw4vGJMHeHQI7dxXXCvLbDT/view?usp=drive_link,1JHkTLLMCyEw4vGJMHeHQI7dxXXCvLbDT,ok,200,dataset\hdsd_raw\0060_SIMVOFIX_10_20_MG_1_1JHkTLLMCyEw4vGJMHeHQI7dxXXCvLbDT.pdf,7400835
61,Simvastatin,1,https://drive.google.com/file/d/12TW7lOr4SRjakOUOAYwJqHb6n78lLtph/view?usp=drive_link,12TW7lOr4SRjakOUOAYwJqHb6n78lLtph,ok,200,dataset\hdsd_raw\0061_Simvastatin_1_12TW7lOr4SRjakOUOAYwJqHb6n78lLtph.pdf,2375864
62,Silverzinc 50,1,https://drive.google.com/file/d/1E8rfcOMPq3S3N8PQgG7z0terZ9yoqjbI/view?usp=drive_link,1E8rfcOMPq3S3N8PQgG7z0terZ9yoqjbI,ok,200,dataset\hdsd_raw\0062_Silverzinc_50_1_1E8rfcOMPq3S3N8PQgG7z0terZ9yoqjbI.pdf,3297782
63,Schaaf,1,https://drive.google.com/file/d/1BiduazXs1IOef5RMHHhj61EZUER1J_yG/view?usp=drive_link,1BiduazXs1IOef5RMHHhj61EZUER1J_yG,ok,200,dataset\hdsd_raw\0063_Schaaf_1_1BiduazXs1IOef5RMHHhj61EZUER1J_yG.pdf,6675526
